request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_192,261.99,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,000 minimum balance protected over the next 90 days."
request_193,211.39,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000 available."
request_194,52347.95,affordable_later,wait,2025-09-23:132800,2025-09-23,none,"Pay INR 132,800.00 in full on 2025-09-23. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,1160.38,not_affordable,not_recommended,none,2026-03-15,none,Do not proceed with this expense. None of the available options keeps the EUR 700 minimum balance protected over the next 90 days.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,45096118.87,affordable_with_plan,partial_payment,2025-11-05:45096118.87|2026-01-15:5842881.13,2026-01-15,none,"Pay IDR 45,096,118.87 today and the remaining balance on 2026-01-15. This completes the full request safely by the deadline."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-04:23674000,2024-09-04,none,"Use 1 installments of IDR 23,674,000.00, starting 2024-09-04. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_with_plan,installments,2026-04-03:23997000,2026-04-03,none,"Use 1 installments of IDR 23,997,000.00, starting 2026-04-03. This leaves at least IDR 17,304,500 available."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-07:1442.10,2025-05-07,none,"Use 1 installments of EUR 1,442.10, starting 2025-05-07. This leaves at least EUR 1,400 available."
request_204,588.74,affordable_with_plan,installments,2026-01-04:588.74,2026-01-04,none,"Use 1 installments of EUR 588.74, starting 2026-01-04. This leaves at least EUR 1,300 available."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:1404.70,2025-08-03,none,"Use 1 installments of EUR 1,404.70, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,6737.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Pay IDR 4,413,000.00 today. This leaves at least IDR 10,470,700 available over the next 90 days."
request_209,3034.53,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 18,400 minimum balance protected over the next 90 days."
request_210,1115.14,affordable_with_plan,partial_payment,2026-04-06:1115.14|2026-04-15:244.88,2026-04-15,none,"Pay USD 1,115.14 today and the remaining balance on 2026-04-15. This completes the full request safely by the deadline."
request_211,591.04,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Pay EUR 1,788.60 in full on 2024-10-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,9347967.07,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 29,579,800 minimum balance protected over the next 90 days."
request_213,3362.4,affordable_with_plan,installments,2026-01-07:3362.40,2026-01-07,none,"Use 1 installments of USD 3,362.40, starting 2026-01-07. This leaves at least USD 2,100 available."
request_214,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 174,900 minimum balance protected over the next 90 days."
request_215,29986.0,affordable_with_plan,installments,2025-05-06:29986,2025-05-06,none,"Use 1 installments of ZAR 29,986.00, starting 2025-05-06. This leaves at least ZAR 15,700 available."
request_216,710.77,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 2026-09-15. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,24424.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800 available."
request_218,27553020.13,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available."
request_219,880.6,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100 available."
request_220,209.84,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the EUR 1,100 minimum balance protected over the next 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:10327000,2025-02-04,none,"Use 1 installments of IDR 10,327,000.00, starting 2025-02-04. This leaves at least IDR 22,187,600 available."
request_225,13370213.3,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7,647,120.00, starting 2026-07-20. This leaves at least IDR 17,670,700 available."
request_226,119850.87,not_affordable,not_recommended,none,2025-02-20,none,"Do not proceed with this expense. None of the available options keeps the INR 209,400 minimum balance protected over the next 90 days."
request_227,12861.34,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 62,900 minimum balance protected over the next 90 days."
request_228,4656900.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 26,191,200 minimum balance protected over the next 90 days."
request_229,630.19,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,35706.0,affordable_with_plan,installments,2026-01-03:35706,2026-01-03,none,"Use 1 installments of ZAR 35,706.00, starting 2026-01-03. This leaves at least ZAR 24,300 available."
request_232,928.6,affordable_later,wait,2024-07-15:1970.10,2024-07-15,none,"Pay EUR 1,970.10 in full on 2024-07-15. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,3766004.5,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with this expense. None of the available options keeps the IDR 10,365,700 minimum balance protected over the next 90 days."
request_234,277.33,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,"Pay EUR 1,213.30 in full on 2026-08-15. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_with_plan,installments,2024-09-06:967.20,2024-09-06,none,"Use 1 installments of USD 967.20, starting 2024-09-06. This leaves at least USD 700 available."
request_236,7443718.01,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 16,768,600 minimum balance protected over the next 90 days."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:663.60,2024-12-07,none,"Use 1 installments of USD 663.60, starting 2024-12-07. This leaves at least USD 700 available."
request_239,642.0,affordable_with_plan,installments,2025-05-04:642,2025-05-04,none,"Use 1 installments of USD 642.00, starting 2025-05-04. This leaves at least USD 600 available."
request_240,20020.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 52,800 minimum balance protected over the next 90 days."
request_241,21052000.0,affordable_with_plan,installments,2024-03-03:21052000,2024-03-03,none,"Use 1 installments of IDR 21,052,000.00, starting 2024-03-03. This leaves at least IDR 19,252,000 available."
request_242,34.67,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the EUR 600 minimum balance protected over the next 90 days.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_with_plan,installments,2024-06-04:49918,2024-06-04,none,"Use 1 installments of ZAR 49,918.00, starting 2024-06-04. This leaves at least ZAR 45,900 available."
request_245,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 94,600 minimum balance protected over the next 90 days."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:64086,2026-04-03,none,"Use 1 installments of ZAR 64,086.00, starting 2026-04-03. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,279.96,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,300 minimum balance protected over the next 90 days."
request_249,240.62,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the USD 600 minimum balance protected over the next 90 days.
request_250,17762.28,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 35,300 minimum balance protected over the next 90 days."
request_251,1513.6,affordable_with_plan,installments,2025-05-03:1513.60,2025-05-03,none,"Use 1 installments of EUR 1,513.60, starting 2025-05-03. This leaves at least EUR 1,300 available."
request_252,5719759.63,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Pay IDR 28,082,000.00 in full on 2026-08-15. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1717.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300 available."
request_254,824.45,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,"Pay USD 3,535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816.00, starting 2024-06-10. This leaves at least INR 168,600 available."
request_257,728.52,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Pay USD 1,352.40 in full on 2025-11-15. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,288.4,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935.00 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_260,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 20,727,700 minimum balance protected over the next 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 24,100 minimum balance protected over the next 90 days."
request_264,30923.34,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 59,500 minimum balance protected over the next 90 days."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today. This leaves at least INR 189,700 available over the next 90 days."
request_266,865.25,not_affordable,not_recommended,none,2025-10-15,none,Do not proceed with this expense. None of the available options keeps the EUR 900 minimum balance protected over the next 90 days.
request_267,1907.62,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400 available."
request_269,7478.14,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with this expense. None of the available options keeps the ZAR 23,100 minimum balance protected over the next 90 days."
request_270,255.68,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,400 minimum balance protected over the next 90 days."
request_271,6010.62,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 58,200 minimum balance protected over the next 90 days."
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available."
request_273,12228400.0,affordable_with_plan,partial_payment,2026-04-07:12228400|2026-04-15:3632600,2026-04-15,none,"Pay IDR 12,228,400.00 today and the remaining balance on 2026-04-15. This completes the full request safely by the deadline."
request_274,2713.7,affordable_with_plan,installments,2024-12-04:2713.70,2024-12-04,none,"Use 1 installments of EUR 2,713.70, starting 2024-12-04. This leaves at least EUR 1,800 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100 available over the next 90 days."
